id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fsyntribos~master~I93f09b21af98882069b6c7cd36f034927eb51e1c,openstack/syntribos,master,,I93f09b21af98882069b6c7cd36f034927eb51e1c,Fix client argument for neutronclient,ABANDONED,2019-07-10 12:32:48.000000000,2020-05-08 17:13:30.000000000,,1,1,0,670048,1592286c4c35fb8f799c58dfe89658d2d61e6c55,4,2,1,1,21528,chenhb,chenhb,"Fix client argument for neutronclient

Change-Id: I93f09b21af98882069b6c7cd36f034927eb51e1c
"
openstack%2Fsyntribos~master~I2e6b87e6ceedd25450f20fcccca0002b2f4b9e28,openstack/syntribos,master,,I2e6b87e6ceedd25450f20fcccca0002b2f4b9e28,Fix author-email in setup.cfg,ABANDONED,2019-01-24 03:17:47.000000000,2020-05-08 17:13:24.000000000,,1,1,0,632899,4074de0e7a45709eb769bff15b10203e85b371f9,6,4,1,1,29423,zhouxinyong,zhouxinyong,"Fix author-email in setup.cfg

Change-Id: I2e6b87e6ceedd25450f20fcccca0002b2f4b9e28
"
openstack%2Fsyntribos~master~Iee4552de3c96422e8307c6c8f1123d71689ef981,openstack/syntribos,master,,Iee4552de3c96422e8307c6c8f1123d71689ef981,Replacing the link in HACKING.rst,ABANDONED,2018-11-16 01:27:51.000000000,2020-05-08 17:13:21.000000000,,1,1,0,618356,d55a39eddf944c9a227296b0fd86cb6f95b73982,3,1,1,1,29423,zhouxinyong,zhouxinyong,"Replacing the link in HACKING.rst

Change-Id: Iee4552de3c96422e8307c6c8f1123d71689ef981
"
openstack%2Fsyntribos~master~I6478e49b02d071c5b8304743ecd98d6dde9b8b99,openstack/syntribos,master,,I6478e49b02d071c5b8304743ecd98d6dde9b8b99,Replacing the link in HACKING.rst,ABANDONED,2018-11-16 01:24:11.000000000,2020-05-08 17:13:15.000000000,,1,1,0,618354,4dcbd64fc34d6aa0773e96b7454d999cc974e10a,3,1,1,1,29423,zhouxinyong,zhouxinyong,"Replacing the link in HACKING.rst

Change-Id: I6478e49b02d071c5b8304743ecd98d6dde9b8b99
"
openstack%2Fsyntribos~master~I61d6a7355147a7e4e49bec52f3826e3a22b3933b,openstack/syntribos,master,random_string,I61d6a7355147a7e4e49bec52f3826e3a22b3933b,Adding random string generator method,ABANDONED,2017-04-03 22:12:24.000000000,2020-05-08 17:13:04.000000000,,103,0,12,452973,d4bc19a2ec3adab7c3a06f871888569356a0c764,24,8,8,1,21297,Vinay Potluri,vinaypotluri,"Adding random string generator method

Adding random fuzzer test and registering [random_fuzzer] group with
config options

ex:
[random_fuzzer]
string_length=5
string_type=alphanumeric

Change-Id: I61d6a7355147a7e4e49bec52f3826e3a22b3933b
"
openstack%2Fsyntribos~master~Iac690a5cda82ab04a21f822913c35051b3dbd788,openstack/syntribos,master,380647,Iac690a5cda82ab04a21f822913c35051b3dbd788,Added swift extension client,ABANDONED,2016-09-30 20:53:44.000000000,2020-05-08 17:12:54.000000000,,101,0,0,380647,41722ab2f81b8b03efe093a341479dbd28cc3b29,19,3,6,2,21297,Vinay Potluri,vinaypotluri,"Added swift extension client

Change-Id: Iac690a5cda82ab04a21f822913c35051b3dbd788
"
openstack%2Fcharm-neutron-api-plugin-ovn~master~I55374006e3adeaf8be04ef69e2cf56619ad3bdb2,openstack/charm-neutron-api-plugin-ovn,master,ovn-charm,I55374006e3adeaf8be04ef69e2cf56619ad3bdb2,Allow use of sriovnicswitch driver with OVN,MERGED,2020-05-06 10:10:40.000000000,2020-05-08 17:06:32.000000000,2020-05-08 17:06:32.000000000,146,29,0,725818,469ca4db8bacdab93b6ed0d3fa9919486373eac1,15,4,2,5,13686,Frode Nordahl,fnordahl,"Allow use of sriovnicswitch driver with OVN

Move filtering of service plugins, mechanism drivers and tenant network
types to charm class.

Add white list for mechanism drivers.

Add black list for service plugins.

Change-Id: I55374006e3adeaf8be04ef69e2cf56619ad3bdb2
"
openstack%2Frally-openstack~master~I316b6ac088c97b49022a0ac607d5041da82c70ea,openstack/rally-openstack,master,fix_docker_push_releases,I316b6ac088c97b49022a0ac607d5041da82c70ea,Fix pushing image to dockerhub on releases,MERGED,2020-05-08 14:17:06.000000000,2020-05-08 17:06:23.000000000,2020-05-08 17:06:23.000000000,1,1,0,726401,c208491a122b5485c111c632d8daea7c3bb1739b,9,2,3,1,9545,Andrey Kurilin,akurilin,"Fix pushing image to dockerhub on releases

Change-Id: I316b6ac088c97b49022a0ac607d5041da82c70ea
"
openstack%2Ftripleo-quickstart~master~Ifbca398a05064f5d8aaee58c6890b7f5b6c42789,openstack/tripleo-quickstart,master,,Ifbca398a05064f5d8aaee58c6890b7f5b6c42789,exclude podman from centos-extras,MERGED,2020-05-05 15:43:44.000000000,2020-05-08 17:01:37.000000000,2020-05-06 10:38:09.000000000,12,0,4,725636,636c3943f889e4fd7bfa6a44b0893faacd73728d,25,11,5,4,9592,wes hayutin,weshayutin,"exclude podman from centos-extras

use podman from dlrn-deps as it's at
a version we can control

Closes-Bug: #1876893
Change-Id: Ifbca398a05064f5d8aaee58c6890b7f5b6c42789
"
openstack%2Fcharm-neutron-api-plugin-ovn~master~I3799b6ffea26423719827b3961ebf79c44c11b2c,openstack/charm-neutron-api-plugin-ovn,master,ovn-charm,I3799b6ffea26423719827b3961ebf79c44c11b2c,Specify path for vhost user sockets,MERGED,2020-04-24 14:56:59.000000000,2020-05-08 16:57:23.000000000,2020-05-08 16:57:23.000000000,8,0,0,722813,058ae7e2c359c625fbdf6d0fb8ac6eaaa6c2dc4a,14,4,1,2,13686,Frode Nordahl,fnordahl,"Specify path for vhost user sockets

This will be used for VIF plugging on chassis that have DPDK
enabled.

Change-Id: I3799b6ffea26423719827b3961ebf79c44c11b2c
"
