id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fmistral~master~Iafc2263735f75fe06ae5f03a885cda8f965a7cc4,openstack/mistral,master,bp/mistral-cancel-state,Iafc2263735f75fe06ae5f03a885cda8f965a7cc4,Add cancelled state to action executions,MERGED,2016-10-07 23:59:56.000000000,2016-11-16 16:18:20.000000000,2016-11-16 16:18:20.000000000,1283,32,22,383972,ab2c23acc3a4f21af42ef6be193ef5436802e365,39,10,7,12,5558,Winson Chan,winson-c-chan,"Add cancelled state to action executions

Allow action executions to be cancelled, specifically for async actions, and
handle the cancellation for task and with-items task appropriately. For
with-items tasks, if one of the action executions is cancelled, then the
task is cancelled. Previously, if there is a mix of error and cancels, the
task is marked with error. But this leads to on-complete being processed
which shouldn't since the with-items task is incomplete due to partially
cancelled.

Change-Id: Iafc2263735f75fe06ae5f03a885cda8f965a7cc4
Implements: blueprint mistral-cancel-state
"
openstack%2Ftripleo-heat-templates~master~I27b45b2a5c200ec976ca31fa62765393e4607a57,openstack/tripleo-heat-templates,master,bug/1640241,I27b45b2a5c200ec976ca31fa62765393e4607a57,Set the (new) SELinux label for OSD data directories on upgrade,ABANDONED,2016-11-08 17:48:26.000000000,2016-11-16 16:18:16.000000000,,9,2,6,395097,ac71fc799db537d55b7dfa506750a1890f722724,24,12,3,1,6796,Giulio Fidente,gfidente,"Set the (new) SELinux label for OSD data directories on upgrade

Also adds a fcontext rule for the real data path if the OSD data
directory is a symlink.

This is meant to implement on upgrade what the puppet-ceph
module would do on a fresh deployment [1].

1. https://github.com/openstack/puppet-ceph/blob/master/manifests/osd.pp#L140

Closes-Bug: #1640241
Change-Id: I27b45b2a5c200ec976ca31fa62765393e4607a57
"
openstack%2Fcharm-interface-manila-plugin~master~Ied0ad014ab7b1d4778113b0d3f2bbae08075372e,openstack/charm-interface-manila-plugin,master,initialize-repo,Ied0ad014ab7b1d4778113b0d3f2bbae08075372e,plugin interface for manila to backends,MERGED,2016-11-15 18:58:58.000000000,2016-11-16 16:17:06.000000000,2016-11-16 16:17:06.000000000,747,0,0,397884,a4f85602afbd0d0adc2d1820b40c9db466a8ac27,13,4,2,8,20870,Alex Kavanagh,ajkavanagh,"plugin interface for manila to backends

This commit contains the interface code to connect between the
manila charm and a backend plugin that will provide configuration
for the manila.

Plugin charms are subordinate because they need to be on the same
unit/machine as the manila file share service.

This interface also implements a 1-many interface and so contains code
to manage that.  That code will be abstracted back to charms.openstack
at some point.

Change-Id: Ied0ad014ab7b1d4778113b0d3f2bbae08075372e
"
openstack%2Fmurano~master~Ie6a2ccdf6121b3badd403a1c08f1e91052e8c4dc,openstack/murano,master,bug/1633394,Ie6a2ccdf6121b3badd403a1c08f1e91052e8c4dc,Update devstack keystone_authtoken config to fit with keystone v3,MERGED,2016-10-12 15:16:32.000000000,2016-11-16 16:15:23.000000000,2016-11-02 18:47:28.000000000,19,17,0,385519,df8bf9c8f85fb1c1aa27c803a78868f54a42e1ea,30,6,3,3,14107,zhurong,zhurong,"Update devstack keystone_authtoken config to fit with keystone v3

Now murano can not auth when only using keystone v3,
this commit update the devstack config to fix with keystone v3.

Closes-bug: #1633394
Change-Id: Ie6a2ccdf6121b3badd403a1c08f1e91052e8c4dc
"
openstack%2Fcharm-guide~master~I839eb556e6b8a1f142ac28b75c5a6fd5aa070d0b,openstack/charm-guide,master,,I839eb556e6b8a1f142ac28b75c5a6fd5aa070d0b,Add notes to the making-a-change page about charmhelpers,MERGED,2016-11-11 10:42:23.000000000,2016-11-16 16:13:12.000000000,2016-11-16 16:13:12.000000000,54,1,0,396581,e8b9634fa1074eaf6bf3e633939f831b80aeb85d,6,2,1,2,20870,Alex Kavanagh,ajkavanagh,"Add notes to the making-a-change page about charmhelpers

For old style charms it is not clear that charmhelpers is synced
into the charm.  Therefore, this change adds some notes and
guidance on how to approach changing charm-helpers if it is
necessary.

Change-Id: I839eb556e6b8a1f142ac28b75c5a6fd5aa070d0b
"
openstack%2Ftripleo-docs~master~Ic57e6e6eafeb18f3d8bbcf5f3a94dc12ee822f07,openstack/tripleo-docs,master,tripleo-ui,Ic57e6e6eafeb18f3d8bbcf5f3a94dc12ee822f07,Add openstack-tripleo-ui to list of included packages,MERGED,2016-10-07 11:46:19.000000000,2016-11-16 16:12:05.000000000,2016-11-16 16:12:05.000000000,1,1,0,383684,e7fe9100a01d66f6b4d5b94717b5e06adf3ec0ea,15,7,2,1,4978,Julie Pichon,jpichon,"Add openstack-tripleo-ui to list of included packages

The package is new in newton and was added to the CI packages list in
I436867ef99995bfe9625f5abbb1a906fd27de514, however the documentation
wasn't updated to include it as well.

Change-Id: Ic57e6e6eafeb18f3d8bbcf5f3a94dc12ee822f07
"
openstack%2Ftripleo-docs~master~Ifb212c7ecaa145726b3c324f7064e62e10d006e8,openstack/tripleo-docs,master,381187,Ifb212c7ecaa145726b3c324f7064e62e10d006e8,Remove usage of --compute-scale from the scale roles docs,MERGED,2016-10-03 15:24:18.000000000,2016-11-16 16:11:59.000000000,2016-11-16 16:11:59.000000000,8,2,12,381187,c4d375670a477f383ead979647609604178f3e44,20,7,5,1,9712,Dougal Matthews,dougal,"Remove usage of --compute-scale from the scale roles docs

This CLI arg was deprecated in Newton in favour of using the param in a
environment file. The CLI argument is still present but is no longer the
recommended approach and will be removed in the future. It was deprecated as
it maps directly to a Heat parameter and it makes more sense to store it
in an environment file with the other Heat parameters in the deployment.

Change-Id: Ifb212c7ecaa145726b3c324f7064e62e10d006e8
"
openstack%2Fmagnum~master~Iefa2fd9f99aaef4686a152e79856557075176844,openstack/magnum,master,bug/1595373,Iefa2fd9f99aaef4686a152e79856557075176844,Don't parse k8s node capacity if node is out of disk,ABANDONED,2016-11-15 19:39:13.000000000,2016-11-16 16:11:43.000000000,,34,0,1,397902,0ae77ad0d0004376999cf0b8659df098d05c87a3,6,4,1,2,7253,Jason Dunsmore,jbd,"Don't parse k8s node capacity if node is out of disk

Change-Id: Iefa2fd9f99aaef4686a152e79856557075176844
Closes-Bug: #1595373
"
openstack%2Fgovernance~master~If1353efd76611128bc7e6dd5b8c52c5a23d4322a,openstack/governance,master,,If1353efd76611128bc7e6dd5b8c52c5a23d4322a,Add kolla-ansible as a deliverable to governance repository,MERGED,2016-11-12 23:56:51.000000000,2016-11-16 16:10:41.000000000,2016-11-16 16:10:41.000000000,5,0,2,396901,fbe8fcef5d8f6287b6d9d254455c2149195ab58a,32,9,6,1,2834,Steven Dake,sdake,"Add kolla-ansible as a deliverable to governance repository

Many folks in the broader open source ecosystem have a strong
desire for Kolla to make OpenStack containers available as a
standalone repository.

Agred upon by vote in this upstream mailing list thread:

http://lists.openstack.org/pipermail/openstack-dev/2016-September/103721.html

Depends-On: I09b365d456735b1e1b7696ed323a21b27f1c642a
Change-Id: If1353efd76611128bc7e6dd5b8c52c5a23d4322a
"
openstack%2Fbandit~master~I30b531b5d8add9d88434b35beeb60d179aacd88a,openstack/bandit,master,gud-code,I30b531b5d8add9d88434b35beeb60d179aacd88a,No mergies,ABANDONED,2016-11-16 03:08:37.000000000,2016-11-16 16:08:02.000000000,,1,0,0,398059,5a585fdf9ee9b54203cfe3236ad8d36141606178,4,1,2,1,11861,Travis McPeak,travis-mcpeak,"No mergies

Change-Id: I30b531b5d8add9d88434b35beeb60d179aacd88a
"
