id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fwatcher~master~I2f8f7107faa4b1f707f424b696c9bc3c6d7e22f4,openstack/watcher,master,fix_dummy_collector,I2f8f7107faa4b1f707f424b696c9bc3c6d7e22f4,Fix variable name error,MERGED,2016-12-19 03:14:36.000000000,2016-12-20 09:27:31.000000000,2016-12-20 09:27:31.000000000,1,1,0,412263,068178f12a9f55890146f5b62b936701b4e62531,9,5,1,1,21692,licanwei,licanwei,"Fix variable name error

doc/source/dev/plugin/cdmc-plugin.rst
'collector' should be 'dummy_collector'

Change-Id: I2f8f7107faa4b1f707f424b696c9bc3c6d7e22f4
"
openstack%2Fwatcher~master~I4f5b48a07e146c727ebf724d1993633aa707cec8,openstack/watcher,master,,I4f5b48a07e146c727ebf724d1993633aa707cec8,remove incorrect inline comment,MERGED,2016-12-20 01:27:37.000000000,2016-12-20 09:27:19.000000000,2016-12-20 09:27:19.000000000,0,1,0,412677,87b494d52a43fbd4eace080f19735f12dacb80cf,7,3,1,1,23210,YumengBao,YumengBao,"remove incorrect inline comment

Change-Id: I4f5b48a07e146c727ebf724d1993633aa707cec8
"
openstack%2Fswift~master~I08cab7a5b5384bf07be1efff6c37d716cc6b2ade,openstack/swift,master,db,I08cab7a5b5384bf07be1efff6c37d716cc6b2ade,Add test cases in the common/test_db,ABANDONED,2016-09-07 11:28:52.000000000,2016-12-20 09:22:27.000000000,,49,1,3,366689,117905a651cba25f585ea5dc106504916eb63464,23,4,5,1,22059,zheng yin,zy751713126,"Add test cases in the common/test_db

There is a DatabaseAlreadyExists class, but it has no test case
in the test_db. Therefore, I add TestDatabaseAlreadyExists.

DatabaseBroker.__init__ has many variables, but it only tests db_file
for memory and disk. Therefore, I add test case for other variables.

Change-Id: I08cab7a5b5384bf07be1efff6c37d716cc6b2ade
"
openstack%2Fpuppet-vswitch~master~I7df340ccffd723581ee043fd8f23a403fbfe46bb,openstack/puppet-vswitch,master,bug/1649267,I7df340ccffd723581ee043fd8f23a403fbfe46bb,Add dependency to openvswitch service for adding DPDK_OPTIONS,MERGED,2016-12-12 12:59:10.000000000,2016-12-20 09:20:31.000000000,2016-12-20 09:20:31.000000000,1,0,0,409779,8383404ab8a513b39efc625b7a46ffbb61b18c8e,25,5,2,1,18575,Saravanan KR,saravanankr,"Add dependency to openvswitch service for adding DPDK_OPTIONS

Openvswitch service is not restarted after configuring the
DPDK_OPTIONS parameter in /etc/sysconfig/openvswitch. Only
after the restart, the openvswitch will start in the DPDK
mode. Add a dependency to file modification to restart
the service.

Change-Id: I7df340ccffd723581ee043fd8f23a403fbfe46bb
Fixes-Bug: #1649267
"
openstack%2Fopenstack-ansible-os_magnum~master~I0bd8d0291ae8e85b6650e89403d5de238bd01acc,openstack/openstack-ansible-os_magnum,master,bug/1648491,I0bd8d0291ae8e85b6650e89403d5de238bd01acc,Change database name and domain to be consistent across roles,ABANDONED,2016-12-08 14:20:27.000000000,2016-12-20 09:19:51.000000000,,2,2,0,408642,e824528f9ba75c92e26314e2f6ad98708cebd686,7,4,1,1,18552,Kevin Lefevre,ArchiFleKs,"Change database name and domain to be consistent across roles

Closes-Bug: #1648491
Change-Id: I0bd8d0291ae8e85b6650e89403d5de238bd01acc
"
openstack%2Fdragonflow~master~I3a4a2bb8aab20fe9df36cbe7d40bd78a0cbf7591,openstack/dragonflow,master,bp/virtual-tunnel-port-support,I3a4a2bb8aab20fe9df36cbe7d40bd78a0cbf7591,Use same priority for remote port's multicast flow,MERGED,2016-12-04 02:25:08.000000000,2016-12-20 09:15:03.000000000,2016-12-20 09:15:03.000000000,101,60,4,406531,3f37c44047eb93167cc7d257a2500309275f6123,34,7,9,2,11159,Hong Hui Xiao,HongHuiXiao,"Use same priority for remote port's multicast flow

L2 app use PRIORITY_HIGH when update/delete remote port's
multicast flow, while use PRIORITY_LOW when add remote
port's multicast flow. This makes the update not work,
as the flow with PRIORITY_HIGH can't match.

Change-Id: I3a4a2bb8aab20fe9df36cbe7d40bd78a0cbf7591
Closes-Bug: #1647042
"
openstack%2Fkolla-ansible~master~I32a42dc777fb1d60a598b5a69a1bdc2187d3c680,openstack/kolla-ansible,master,addCONTRIBUTING.rst,I32a42dc777fb1d60a598b5a69a1bdc2187d3c680,add CONTRIBUTING.rst,ABANDONED,2016-12-20 08:19:11.000000000,2016-12-20 09:01:17.000000000,,16,0,0,412863,372eaa7feb650371252670525541d443ee46a4c1,5,2,1,1,23446,yunfeng zhou,zhouyunfeng,"add CONTRIBUTING.rst

The module has no CONTRIBUTING.rst file, so add it.

Change-Id: I32a42dc777fb1d60a598b5a69a1bdc2187d3c680
"
openstack%2Fkolla~master~Ic40d0e85c4b122c85048932b5293d314094c0be1,openstack/kolla,master,addCONTRIBUTING.rst,Ic40d0e85c4b122c85048932b5293d314094c0be1,add CONTRIBUTING.rst,ABANDONED,2016-12-20 08:18:10.000000000,2016-12-20 09:00:48.000000000,,16,0,0,412862,7d939a81d8e3a0aa7f9524faa9e45f9a5710fb21,4,2,1,1,23446,yunfeng zhou,zhouyunfeng,"add CONTRIBUTING.rst

The module has no CONTRIBUTING.rst file, so add it.

Change-Id: Ic40d0e85c4b122c85048932b5293d314094c0be1
"
openstack%2Fglance~master~I7b301c474c2501a5b83b3cb242803dbee669c3bc,openstack/glance,master,python3-functional-tests,I7b301c474c2501a5b83b3cb242803dbee669c3bc,Python3: fix glance.tests.functional.test_scrubber,MERGED,2016-11-28 11:10:34.000000000,2016-12-20 08:54:57.000000000,2016-12-20 08:54:56.000000000,2,1,1,403624,1d5dd0641a4dabedf217adeb9e6ebf23a25a7cfc,10,4,2,2,8122,Cyril Roelandt,cyril.roelandt.enovance,"Python3: fix glance.tests.functional.test_scrubber

In Python3, the division of two integers may return a floating number, which is
not a valid argument for the range() function.

Change-Id: I7b301c474c2501a5b83b3cb242803dbee669c3bc
"
openstack%2Fdragonflow~master~Ifbc68f86008457771c811a8a8483075207f31901,openstack/dragonflow,master,Ifbc68f86008457771c811a8a8483075207f31901,Ifbc68f86008457771c811a8a8483075207f31901,Add unit tests to dhcp_app,MERGED,2016-12-12 15:50:28.000000000,2016-12-20 08:54:14.000000000,2016-12-20 08:54:14.000000000,67,0,36,409844,87a17121ca42b1218a265835eacb71183c0faec3,37,7,5,1,21930,Steve Kipp,SKipp,"Add unit tests to dhcp_app

This patch set increases the coverage of the dhcp_app file.
By adding unit tests to:
    remove_local_port
    remove_logical_switch
    _get_subnet_by_port
    _get_dhcp_message_type_opt
    _get_lswitch_by_port

Change-Id: Ifbc68f86008457771c811a8a8483075207f31901
"
